Складские остатки шин магазина Master-Shina.Ru;

Название;Ширина;Высота;Диаметр;Сезон;Количество;Цена;
Sunwide FM601 96W;225;50;16;Лето;4;2900;

Toyo;
Toyo Observe Garit GIZ 88Q;185;65;15;Зима;4;2850;

Triangle;
Triangle Group Sports TH201 100W  зад;275;35;19;Лето;Более 20 шт;5200;
Triangle Group Sports TH201 95Y;245;40;20;Лето;Более 20 шт;5150;
Triangle Group Sports TH201 98W;245;40;19;Лето;Более 20 шт;4350;
Triangle Group TR968 93V перед;245;35;19;Лето;Более 20 шт;4000;
Triangle Group Snow PL01 110R;275;45;21;Зима;Более 20 шт;5400;
Triangle Group Snow PL01 104R;225;60;18;Зима;1;4150;
Triangle Group TR797 105H;235;55;20;Зима;8;5000;
Triangle Group Snow PL01 95R;235;40;18;Зима;4;3500;
Triangle Group Snow PL01 94R;225;45;17;Зима;2;3250;
Triangle Group Snow PL01 92R;225;40;18;Зима;Более 20 шт;3200;
Triangle Group Sports TH201 105Y зад;275;40;19;Лето;10;5100;
Triangle Group Sports TH201 102Y  зад;275;35;20;Лето;Более 20 шт;5000;
Triangle Group Sports TH201 97Y  перед;255;35;20;Лето;20;4500;
Triangle Group Sports TH201 102Y перед;245;45;19;Лето;14;4600;
Triangle Group TH201 91Y;235;35;19;Лето;Более 20 шт;3900;
Triangle Group TR968 98V;225;50;17;Лето;2;3750;
Triangle Group TR968 92W;275;30;19;Лето;Более 20 шт;4200;
Triangle Group TR968 93V  зад;265;35;18;Лето;Более 20 шт;3850;
Triangle Group TR968 93V;265;30;19;Лето;Более 20 шт;4000;
Triangle Group TR968 97V  перед;245;40;18;Лето;Более 20 шт;3700;
Triangle Group TR967 98W;245;40;19;Лето;12;4600;
Triangle Group TR797 117T;275;55;20;Зима;4;6500;

Viatti;
Viatti Bosco H/T V-238 99V;235;55;17;Лето;Более 20 шт;3500;

Vitour;
Vitour Ice Line 103T;235;60;18;Зима;4;4000;
Vitour Polar Bear W1 95V;235;40;18;Зима;4;3300;
Vitour Polar Bear S 95T шип.;245;45;17;Зима;Более 20 шт;4000;
Vitour Ice Line 99H;245;45;17;Зима;4;3800;
Vitour Ice Line 102T;225;65;17;Зима;6;3900;
Vitour Ice Line 99T;225;60;17;Зима;4;3650;
Vitour Ice Line 94T;225;50;17;Зима;4;3400;
Vitour Ice Line 91H;215;45;17;Зима;12;3000;
Vitour Ice Line 94T;235;45;17;Зима;4;3450;
Vitour Ice Line 98T;215;65;16;Зима;Более 20 шт;3150;
Vitour Ice Line 104T;235;65;17;Зима;4;3900;
Vitour Ice Line 99T;235;55;17;Зима;12;3600;

Vredestein;
Vredestein SnowTrac 5 73T;155;65;13;Зима;4;1700;

Wanli;
Wanli  S-1088  97W;245;40;18;Лето;Более 20 шт;3500;

Windforce;
Windforce Mile Max 115/113R;235;65;16;Лето;Более 20 шт;4350;
Windforce CatchPowerr 105V;235;55;19;Лето;12;5000;
Windforce CatchPower 93W;215;45;18;Лето;16;3300;
Windforce CatchPower 87W;205;45;16;Лето;Более 20 шт;2700;
Windforce CatchPower 110V  зад;315;35;20;Лето;Более 20 шт;6500;
Windforce CatchPower 111V  зад;285;45;19;Лето;Более 20 шт;5600;
Windforce CatchPower 106V  перед;275;40;20;Лето;Более 20 шт;5000;
Windforce CatchPower 107V  перед;255;50;19;Лето;Более 20 шт;5000;
Windforce CatchPower 107V;245;55;19;Лето;20;4600;
Windforce CatchPower 102W;245;45;19;Лето;Более 20 шт;4350;
Windforce Catchsnow 96H;215;60;17;Зима;2;3300;

Winrun;
Winrun Maxclaw AT 111V;265;50;20;Лето;Более 20 шт;6000;
Winrun R330 99W;245;40;20;Лето;Более 20 шт;4800;
Winrun R330 113W;275;50;21;Лето;8;8000;
Winrun R330 98W;265;35;19;Лето;4;5750;
Winrun Maxclaw H/T2 102W;235;55;20;Лето;Более 20 шт;6250;
Winrun R330 99W;235;45;19;Лето;12;5200;
Winrun R350 121/120R;225;75;16;Лето;Более 20 шт;4500;
Winrun R330 95W;225;50;18;Лето;Более 20 шт;4250;
Winrun R350 102/104R;185;80;14;Лето;Более 20 шт;2800;
Winrun R330 104W;265;45;21;Лето;2;6750;
Winrun R330 110W;275;45;21;Лето;4;7350;
Winrun R330 94W;225;45;17;Лето;20;3000;
Winrun R380 95H;215;60;16;Лето;Более 20 шт;2900;
Winrun R330 93W;215;45;18;Лето;8;3650;
Winrun R330 91V;205;55;16;Лето;Более 20 шт;2350;
Winrun R330 84W;205;40;17;Лето;Более 20 шт;2750;
Winrun R330 110W  зад;315;35;20;Лето;Более 20 шт;6750;
Winrun R330 111W;275;55;19;Лето;Более 20 шт;7350;
Winrun R330 105W  зад;275;40;19;Лето;6;4500;
Winrun R330 96W;255;35;19;Лето;4;4600;
Winrun R330 102W  перед;245;45;19;Лето;4;4700;
Winrun R330 93W;245;35;19;Лето;4;3800;
Winrun R330 93W;225;40;19;Лето;4;4400;
Winrun R330 92W;225;40;18;Лето;Более 20 шт;3000;
Winrun R330 91W;215;45;17;Лето;Более 20 шт;3000;
Winrun KF997 118V;305;45;22;Лето;4;8150;
Winrun KF997 114V;285;45;22;Лето;Более 20 шт;7250;
Winrun R330 106W  перед;275;40;20;Лето;Более 20 шт;5000;
Winrun R330 95W;245;35;20;Лето;Более 20 шт;4000;

Yokohama;
Yokohama E75FZ 95V;215;60;16;Лето;8;4000;
Yokohama  Ice Guard IG55 90T шип.;185;65;14;Зима;4;2350;
Yokohama Ice Guard IG35+ 97T шип;215;55;16;Зима;Более 20 шт;3250;
Yokohama Ice Guard IG35+ 103T;225;60;17;Зима;Более 20 шт;4200;
Yokohama Ice Guard IG35 95T шип;215;55;18;Зима;Более 20 шт;3200;
Yokohama  IG-30 91Q;205;55;16;Зима;1;1500;
Yokohama Blu Earth AE01 91H;205;55;16;Лето;12;3000;

Алтайский шинный комбинат;
Алтайский шинный комбинат АИ-168У 78Р;165;80;13;Зима;4;1800;
Алтайский шинный комбинат М-145 78P;165;80;13;Лето;4;1700;
Алтайский шинный комбинат Вли-5 104/102Q c камерой;175;80;16;Лето;3;2600;

Волтайр;
Волтаир В-19А 6PR;5.00;;10;Всесезонные;Более 20 шт;1650;
